post_id,user_id,post_content,post_time,start_time,end_time,is_deleted,is_current,partition_date
120,120020,"SQL sucks for large databases.",2024-08-24 12:35:00,2024-08-24 12:35:00,2024-08-24 13:35:00,TRUE,FALSE,2024-08-24
121,121021,"SQL challenges daily.",2024-08-24 15:00:00,2024-08-24 15:00:00,,FALSE,TRUE,2024-08-24
122,122022,"SQL sucks, but I need a job.",2024-08-24 12:45:00,2024-08-24 12:45:00,2024-08-24 13:45:00,TRUE,FALSE,2024-08-24
123,123023,"More SQL, more problems.",2024-08-24 10:20:00,2024-08-24 10:20:00,,FALSE,TRUE,2024-08-24
124,124024,"SQL sucks, but I'm improving.",2024-08-24 11:05:00,2024-08-24 11:05:00,,FALSE,TRUE,2024-08-24
126,125026,"SQL frustrations today.",2024-08-24 13:30:00,2024-08-24 13:30:00,2024-08-24 14:30:00,TRUE,FALSE,2024-08-24
127,126027,"SQL sucks for testing.",2024-08-24 14:40:00,2024-08-24 14:40:00,2024-08-24 15:40:00,TRUE,FALSE,2024-08-24
128,127028,"SQL mastery in progress.",2024-08-24 12:25:00,2024-08-24 12:25:00,,FALSE,TRUE,2024-08-24
129,128029,"SQL sucks for quick fixes.",2024-08-24 10:30:00,2024-08-24 10:30:00,,FALSE,TRUE,2024-08-24
130,129030,"SQL woes and wins.",2024-08-24 15:25:00,2024-08-24 15:25:00,,FALSE,TRUE,2024-08-24
131,130031,"SQL sucks when things break.",2024-08-24 11:55:00,2024-08-24 11:55:00,2024-08-24 12:55:00,TRUE,FALSE,2024-08-24
132,131032,"SQL queries before coffee.",2024-08-24 10:10:00,2024-08-24 10:10:00,,FALSE,TRUE,2024-08-24
133,132033,"SQL sucks but it's necessary.",2024-08-24 16:00:00,2024-08-24 16:00:00,,FALSE,TRUE,2024-08-24
134,133034,"SQL woes on a Friday.",2024-08-24 13:10:00,2024-08-24 13:10:00,,FALSE,TRUE,2024-08-24
135,134035,"SQL sucks when rushed.",2024-08-24 14:30:00,2024-08-24 14:30:00,2024-08-24 15:30:00,TRUE,FALSE,2024-08-24
136,135036,"Another SQL bug squashed.",2024-08-24 10:55:00,2024-08-24 10:55:00,,FALSE,TRUE,2024-08-24
137,136037,"SQL sucks, but keeps me employed.",2024-08-24 12:50:00,2024-08-24 12:50:00,2024-08-24 13:50:00,TRUE,FALSE,2024-08-24
138,137038,"SQL problem-solving mode.",2024-08-24 15:20:00,2024-08-24 15:20:00,,FALSE,TRUE,2024-08-24
139,138039,"SQL sucks for date queries.",2024-08-24 11:35:00,2024-08-24 11:35:00,2024-08-24 12:35:00,TRUE,FALSE,2024-08-24
140,139040,"SQL joys and frustrations.",2024-08-24 12:15:00,2024-08-24 12:15:00,,FALSE,TRUE,2024-08-24
141,140041,"SQL sucks for recursive queries.",2024-08-24 14:20:00,2024-08-24 14:20:00,2024-08-24 15:20:00,TRUE,FALSE,2024-08-24
142,141042,"Daily SQL grind continues.",2024-08-24 15:55:00,2024-08-24 15:55:00,,FALSE,TRUE,2024-08-24
143,142043,"SQL sucks, but pays the bills.",2024-08-24 13:00:00,2024-08-24 13:00:00,2024-08-24 14:00:00,TRUE,FALSE,2024-08-24
144,143044,"Optimizing SQL queries.",2024-08-24 11:25:00,2024-08-24 11:25:00,,FALSE,TRUE,2024-08-24
145,144045,"SQL sucks for handling large datasets.",2024-08-24 16:10:00,2024-08-24 16:10:00,2024-08-24 17:10:00,TRUE,FALSE,2024-08-24
146,145046,"Working on SQL improvements.",2024-08-24 10:00:00,2024-08-24 10:00:00,,FALSE,TRUE,2024-08-24
147,146047,"SQL sucks for handling errors.",2024-08-24 12:55:00,2024-08-24 12:55:00,2024-08-24 13:55:00,TRUE,FALSE,2024-08-24
148,147048,"SQL fixes on a Monday.",2024-08-24 11:10:00,2024-08-24 11:10:00,,FALSE,TRUE,2024-08-24
149,148049,"SQL sucks when data is messy.",2024-08-24 13:35:00,2024-08-24 13:35:00,2024-08-24 14:35:00,TRUE,FALSE,2024-08-24
150,149050,"SQL for analytics.",2024-08-24 14:45:00,2024-08-24 14:45:00,,FALSE,TRUE,2024-08-24
151,150051,"SQL sucks, but it's necessary.",2024-08-24 16:20:00,2024-08-24 16:20:00,2024-08-24 17:20:00,TRUE,FALSE,2024-08-24
152,151052,"Another day of SQL.",2024-08-25 09:10:00,2024-08-25 09:10:00,,FALSE,TRUE,2024-08-25
153,152053,"SQL sucks for complex queries.",2024-08-25 09:45:00,2024-08-25 09:45:00,2024-08-25 10:45:00,TRUE,FALSE,2024-08-25
154,153054,"SQL problems to solve.",2024-08-25 10:30:00,2024-08-25 10:30:00,,FALSE,TRUE,2024-08-25
155,154055,"SQL sucks when I miss a semicolon.",2024-08-25 11:20:00,2024-08-25 11:20:00,2024-08-25 12:20:00,TRUE,FALSE,2024-08-25
156,155056,"SQL optimization is key.",2024-08-25 13:40:00,2024-08-25 13:40:00,,FALSE,TRUE,2024-08-25
157,156057,"SQL sucks for quick changes.",2024-08-25 12:15:00,2024-08-25 12:15:00,,FALSE,TRUE,2024-08-25
158,157058,"Another SQL challenge.",2024-08-25 14:00:00,2024-08-25 14:00:00,,FALSE,TRUE,2024-08-25
159,158059,"SQL sucks, but it's rewarding.",2024-08-25 09:35:00,2024-08-25 09:35:00,2024-08-25 10:35:00,TRUE,FALSE,2024-08-25
160,159060,"SQL debugging in progress.",2024-08-25 11:05:00,2024-08-25 11:05:00,,FALSE,TRUE,2024-08-25
161,160061,"SQL sucks for data integrity issues.",2024-08-25 15:10:00,2024-08-25 15:10:00,2024-08-25 16:10:00,TRUE,FALSE,2024-08-25
162,161062,"SQL development on the rise.",2024-08-25 13:20:00,2024-08-25 13:20:00,,FALSE,TRUE,2024-08-25
163,162063,"SQL sucks when bugs persist.",2024-08-25 14:25:00,2024-08-25 14:25:00,2024-08-25 15:25:00,TRUE,FALSE,2024-08-25
164,163064,"SQL problems never end.",2024-08-25 12:00:00,2024-08-25 12:00:00,,FALSE,TRUE,2024-08-25
165,164065,"SQL sucks for time management.",2024-08-25 09:25:00,2024-08-25 09:25:00,2024-08-25 10:25:00,TRUE,FALSE,2024-08-25
166,165066,"SQL improvements ongoing.",2024-08-25 11:15:00,2024-08-25 11:15:00,,FALSE,TRUE,2024-08-25
167,166067,"SQL sucks when under pressure.",2024-08-25 10:40:00,2024-08-25 10:40:00,2024-08-25 11:40:00,TRUE,FALSE,2024-08-25
168,167068,"SQL scripting simplified.",2024-08-25 13:50:00,2024-08-25 13:50:00,,FALSE,TRUE,2024-08-25
169,168069,"SQL sucks when you forget syntax.",2024-08-25 15:30:00,2024-08-25 15:30:00,2024-08-25 16:30:00,TRUE,FALSE,2024-08-25
170,169070,"SQL troubleshooting daily.",2024-08-25 09:55:00,2024-08-25 09:55:00,,FALSE,TRUE,2024-08-25
171,170071,"SQL sucks for big data.",2024-08-25 11:25:00,2024-08-25 11:25:00,2024-08-25 12:25:00,TRUE,FALSE,2024-08-25
172,171072,"SQL for database management.",2024-08-25 12:30:00,2024-08-25 12:30:00,,FALSE,TRUE,2024-08-25
173,172073,"SQL sucks for quick debugging.",2024-08-25 14:10:00,2024-08-25 14:10:00,2024-08-25 15:10:00,TRUE,FALSE,2024-08-25
174,173074,"SQL focus for the day.",2024-08-25 09:05:00,2024-08-25 09:05:00,,FALSE,TRUE,2024-08-25
175,174075,"SQL sucks for nested queries.",2024-08-25 11:55:00,2024-08-25 11:55:00,2024-08-25 12:55:00,TRUE,FALSE,2024-08-25
176,175076,"SQL insights and improvements.",2024-08-25 10:50:00,2024-08-25 10:50:00,,FALSE,TRUE,2024-08-25
177,176077,"SQL sucks for handling updates.",2024-08-25 13:10:00,2024-08-25 13:10:00,2024-08-25 14:10:00,TRUE,FALSE,2024-08-25
178,177078,"SQL debugging done right.",2024-08-25 12:55:00,2024-08-25 12:55:00,,FALSE,TRUE,2024-08-25
179,178079,"SQL sucks when things go wrong.",2024-08-25 15:00:00,2024-08-25 15:00:00,2024-08-25 16:00:00,TRUE,FALSE,2024-08-25
180,179080,"Another SQL bug solved.",2024-08-25 09:50:00,2024-08-25 09:50:00,,FALSE,TRUE,2024-08-25
181,180081,"SQL sucks for managing errors.",2024-08-25 10:15:00,2024-08-25 10:15:00,2024-08-25 11:15:00,TRUE,FALSE,2024-08-25
182,181082,"SQL improvements on the horizon.",2024-08-25 11:40:00,2024-08-25 11:40:00,,FALSE,TRUE,2024-08-25
183,182083,"SQL sucks when time is short.",2024-08-25 12:45:00,2024-08-25 12:45:00,,FALSE,TRUE,2024-08-25
184,183084,"SQL cleanup tasks.",2024-08-25 14:35:00,2024-08-25 14:35:00,,FALSE,TRUE,2024-08-25
185,184085,"SQL sucks for handling errors.",2024-08-25 15:40:00,2024-08-25 15:40:00,2024-08-25 16:40:00,TRUE,FALSE,2024-08-25
186,185086,"SQL insights for the day.",2024-08-25 13:30:00,2024-08-25 13:30:00,,FALSE,TRUE,2024-08-25
187,186087,"SQL sucks for batch processing.",2024-08-25 10:20:00,2024-08-25 10:20:00,2024-08-25 11:20:00,TRUE,FALSE,2024-08-25
188,187088,"SQL project updates.",2024-08-25 14:50:00,2024-08-25 14:50:00,,FALSE,TRUE,2024-08-25
189,188089,"SQL sucks for handling constraints.",2024-08-25 16:25:00,2024-08-25 16:25:00,2024-08-25 17:25:00,TRUE,FALSE,2024-08-25
190,189090,"SQL debugging in progress.",2024-08-25 15:15:00,2024-08-25 15:15:00,,FALSE,TRUE,2024-08-25
191,190091,"SQL sucks when things break.",2024-08-25 10:05:00,2024-08-25 10:05:00,,FALSE,TRUE,2024-08-25
192,191092,"SQL work in progress.",2024-08-25 11:30:00,2024-08-25 11:30:00,,FALSE,TRUE,2024-08-25
193,192093,"SQL sucks for fixing bugs.",2024-08-25 12:50:00,2024-08-25 12:50:00,2024-08-25 13:50:00,TRUE,FALSE,2024-08-25
194,193094,"SQL challenges on the rise.",2024-08-25 14:20:00,2024-08-25 14:20:00,,FALSE,TRUE,2024-08-25
195,194095,"SQL sucks for testing.",2024-08-25 10:45:00,2024-08-25 10:45:00,,FALSE,TRUE,2024-08-25
196,195096,"SQL debugging done.",2024-08-25 11:00:00,2024-08-25 11:00:00,,FALSE,TRUE,2024-08-25
197,196097,"SQL sucks for troubleshooting.",2024-08-25 14:55:00,2024-08-25 14:55:00,2024-08-25 15:55:00,TRUE,FALSE,2024-08-25
198,197098,"SQL insights ongoing.",2024-08-25 12:25:00,2024-08-25 12:25:00,,FALSE,TRUE,2024-08-25
199,198099,"SQL sucks when things are slow.",2024-08-25 16:35:00,2024-08-25 16:35:00,,FALSE,TRUE,2024-08-25
200,199100,"SQL optimization underway.",2024-08-25 15:25:00,2024-08-25 15:25:00,,FALSE,TRUE,2024-08-25
201,200101,"SQL sucks for managing time.",2024-08-25 16:50:00,2024-08-25 16:50:00,,FALSE,TRUE,2024-08-25
